# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosotaleales;D_4__Nitrosotaleaceae;D_5__uncultured Thermoprotei archaeon	4.0	0.0	2.0	2.0	0.0	3.0	0.0	2.0	4.0	2.0	1.0	5.0	0.0	0.0	3.0	3.0	5.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	4.0	4.0	0.0	0.0	0.0	1.0	5.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	2.0	3.0	2.0	2.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Acidicapsa	0.0	5.0	1.0	0.0	9.0	0.0	2.0	0.0	0.0	3.0	2.0	2.0	20.0	9.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	9.0	0.0	7.0	0.0	11.0	0.0	0.0	0.0	3.0	0.0	2.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	10.0	0.0	3.0	8.0	0.0	6.0	0.0	0.0	1.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	1.0	1.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Acidipila	3.0	28.0	30.0	21.0	30.0	19.0	54.0	7.0	1.0	18.0	6.0	5.0	67.0	44.0	28.0	3.0	1.0	34.0	6.0	22.0	6.0	56.0	8.0	68.0	33.0	27.0	20.0	5.0	15.0	49.0	7.0	22.0	13.0	14.0	33.0	22.0	11.0	21.0	6.0	69.0	19.0	35.0	3.0	48.0	55.0	7.0	36.0	9.0	6.0	21.0	118.0	35.0	10.0	28.0	11.0	44.0	31.0	9.0	15.0	31.0	36.0	4.0	13.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Bryocella	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Edaphobacter	0.0	22.0	0.0	4.0	5.0	1.0	42.0	6.0	0.0	18.0	0.0	0.0	8.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	34.0	2.0	13.0	0.0	13.0	17.0	0.0	21.0	10.0	0.0	7.0	11.0	4.0	7.0	8.0	4.0	6.0	0.0	97.0	0.0	63.0	0.0	2.0	13.0	0.0	13.0	0.0	0.0	1.0	32.0	2.0	2.0	1.0	0.0	7.0	3.0	0.0	6.0	7.0	30.0	1.0	8.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Granulicella	1.0	20.0	3.0	7.0	46.0	13.0	40.0	4.0	0.0	9.0	10.0	10.0	66.0	42.0	38.0	18.0	1.0	20.0	3.0	6.0	4.0	107.0	1.0	47.0	16.0	18.0	7.0	0.0	5.0	38.0	12.0	15.0	1.0	3.0	14.0	5.0	1.0	2.0	1.0	35.0	6.0	56.0	1.0	5.0	76.0	2.0	57.0	0.0	2.0	51.0	47.0	29.0	9.0	33.0	16.0	27.0	9.0	0.0	3.0	37.0	14.0	1.0	6.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Occallatibacter	0.0	41.0	19.0	15.0	65.0	2.0	47.0	3.0	1.0	11.0	17.0	17.0	113.0	41.0	40.0	52.0	0.0	9.0	2.0	18.0	5.0	191.0	6.0	50.0	6.0	104.0	15.0	1.0	9.0	36.0	10.0	19.0	20.0	50.0	19.0	7.0	2.0	38.0	0.0	89.0	15.0	67.0	2.0	22.0	114.0	4.0	217.0	17.0	1.0	42.0	169.0	19.0	0.0	19.0	5.0	16.0	63.0	0.0	16.0	69.0	77.0	0.0	17.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Telmatobacter	0.0	15.0	4.0	2.0	11.0	0.0	1.0	2.0	0.0	3.0	13.0	0.0	28.0	26.0	0.0	0.0	0.0	2.0	0.0	11.0	4.0	5.0	0.0	12.0	2.0	18.0	0.0	0.0	2.0	11.0	0.0	4.0	7.0	2.0	4.0	9.0	0.0	7.0	5.0	1.0	4.0	18.0	0.0	3.0	19.0	2.0	2.0	0.0	0.0	3.0	6.0	2.0	0.0	5.0	0.0	1.0	1.0	0.0	13.0	18.0	11.0	2.0	9.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Terracidiphilus	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Terriglobus	1.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
