asv	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
f2491278404b0c23c7d549b7d79de8fe	474.0	58.0	275.0	134.0	10.0	756.0	25.0	553.0	174.0	216.0	236.0	86.0	0.0	35.0	47.0	19.0	633.0	3.0	188.0	18.0	415.0	0.0	731.0	18.0	92.0	1.0	148.0	648.0	147.0	4.0	184.0	65.0	140.0	15.0	157.0	22.0	747.0	21.0	98.0	0.0	77.0	0.0	79.0	114.0	0.0	53.0	3.0	51.0	629.0	0.0	0.0	11.0	585.0	16.0	222.0	5.0	137.0	429.0	171.0	42.0	38.0	403.0	42.0
1b992265f94bd0b3ce677c85f99575d4	473.0	23.0	54.0	14.0	2.0	54.0	4.0	10.0	543.0	12.0	26.0	281.0	0.0	0.0	27.0	0.0	81.0	2.0	153.0	14.0	3.0	0.0	492.0	14.0	4.0	0.0	18.0	96.0	16.0	0.0	38.0	22.0	198.0	25.0	22.0	2.0	78.0	11.0	3.0	0.0	0.0	0.0	106.0	44.0	4.0	68.0	0.0	183.0	365.0	2.0	0.0	0.0	44.0	0.0	24.0	0.0	3.0	173.0	29.0	9.0	3.0	91.0	11.0
d196b2a85dd60ecfebd63caf43abadfb	203.0	130.0	258.0	301.0	89.0	297.0	233.0	485.0	140.0	308.0	170.0	320.0	81.0	106.0	266.0	101.0	190.0	68.0	314.0	505.0	369.0	6.0	161.0	218.0	64.0	106.0	971.0	206.0	1124.0	36.0	154.0	68.0	212.0	360.0	262.0	303.0	497.0	102.0	184.0	140.0	80.0	24.0	141.0	444.0	51.0	86.0	126.0	333.0	139.0	100.0	57.0	82.0	248.0	104.0	175.0	79.0	147.0	311.0	377.0	141.0	47.0	104.0	79.0
a3443f1be5a89192fd1f8574310a98e1	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	340.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	295.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	7.0	0.0	0.0	0.0	109.0	0.0
392098598a7013547fb464a69069a785	141.0	0.0	3.0	92.0	0.0	91.0	0.0	99.0	8.0	91.0	0.0	76.0	0.0	5.0	0.0	10.0	71.0	0.0	26.0	0.0	68.0	0.0	53.0	9.0	0.0	0.0	0.0	90.0	0.0	0.0	10.0	1.0	90.0	0.0	3.0	0.0	87.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	35.0	26.0	0.0	0.0	0.0	63.0	0.0	68.0	0.0	27.0	115.0	0.0	0.0	0.0	6.0	0.0
88ee5c3dfa490e112205283645ac6f74	134.0	38.0	109.0	200.0	14.0	238.0	22.0	231.0	45.0	226.0	147.0	205.0	26.0	19.0	0.0	0.0	55.0	21.0	106.0	106.0	194.0	7.0	89.0	131.0	47.0	27.0	104.0	80.0	82.0	3.0	74.0	49.0	254.0	64.0	39.0	33.0	157.0	23.0	77.0	0.0	19.0	0.0	0.0	87.0	5.0	64.0	24.0	125.0	62.0	0.0	22.0	39.0	168.0	52.0	220.0	47.0	24.0	516.0	49.0	29.0	0.0	17.0	24.0
0799e88db0fc1c4203d47605dee8e882	133.0	58.0	145.0	129.0	4.0	255.0	7.0	102.0	117.0	151.0	119.0	109.0	25.0	19.0	26.0	5.0	83.0	19.0	173.0	194.0	64.0	0.0	200.0	8.0	11.0	42.0	127.0	131.0	115.0	0.0	31.0	11.0	216.0	52.0	69.0	78.0	266.0	25.0	50.0	6.0	11.0	13.0	84.0	128.0	0.0	21.0	19.0	141.0	118.0	21.0	9.0	47.0	199.0	29.0	91.0	17.0	47.0	482.0	103.0	13.0	30.0	41.0	19.0
43ebc28456c2bf0a1509166f72156cc2	129.0	7.0	46.0	2.0	0.0	131.0	14.0	0.0	8.0	1.0	28.0	84.0	2.0	34.0	0.0	0.0	326.0	1.0	61.0	0.0	2.0	0.0	81.0	14.0	22.0	0.0	0.0	329.0	0.0	0.0	72.0	9.0	93.0	10.0	29.0	0.0	46.0	10.0	5.0	0.0	0.0	0.0	1.0	12.0	0.0	25.0	0.0	13.0	96.0	0.0	0.0	1.0	123.0	0.0	12.0	1.0	9.0	27.0	4.0	0.0	0.0	67.0	0.0
bb07fd24068676b9ecf8b18e5947ca5f	128.0	103.0	243.0	165.0	0.0	242.0	56.0	56.0	289.0	256.0	115.0	163.0	34.0	58.0	261.0	55.0	49.0	76.0	268.0	159.0	29.0	1.0	69.0	110.0	52.0	78.0	331.0	106.0	260.0	0.0	29.0	65.0	156.0	322.0	171.0	84.0	352.0	64.0	73.0	51.0	49.0	0.0	344.0	296.0	27.0	314.0	55.0	384.0	86.0	185.0	51.0	118.0	185.0	117.0	85.0	103.0	170.0	516.0	105.0	79.0	3.0	4.0	50.0
64411a486ff92818897e3e82f9d23d11	127.0	3.0	41.0	41.0	0.0	112.0	3.0	17.0	0.0	40.0	26.0	148.0	0.0	4.0	160.0	0.0	78.0	0.0	48.0	7.0	17.0	0.0	43.0	0.0	45.0	0.0	8.0	80.0	18.0	0.0	11.0	46.0	48.0	0.0	9.0	9.0	54.0	5.0	4.0	0.0	10.0	0.0	0.0	20.0	0.0	13.0	0.0	35.0	68.0	2.0	3.0	1.0	95.0	0.0	95.0	0.0	43.0	30.0	13.0	0.0	0.0	57.0	8.0
