SampleID	comparison
GSM2420259	Pre
GSM2420260	On
GSM2420261	Pre
GSM2420262	On
GSM2420263	On
GSM2420264	Pre
GSM2420265	Pre
GSM2420266	On
GSM2420267	Pre
GSM2420268	Pre
GSM2420269	On
GSM2420270	Pre
GSM2420271	On
GSM2420272	Pre
GSM2420273	Pre
GSM2420274	On
GSM2420275	Pre
GSM2420276	On
GSM2420277	Pre
GSM2420278	On
GSM2420279	On
GSM2420280	Pre
GSM2420281	On
GSM2420282	Pre
GSM2420283	On
GSM2420284	On
GSM2420285	Pre
GSM2420286	Pre
GSM2420287	On
GSM2420288	On
GSM2420289	Pre
GSM2420290	On
GSM2420291	On
GSM2420292	Pre
GSM2420293	On
GSM2420294	On
GSM2420295	Pre
GSM2420296	Pre
GSM2420297	On
GSM2420298	On
GSM2420299	Pre
GSM2420300	On
GSM2420301	On
GSM2420302	Pre
GSM2420303	Pre
GSM2420304	On
GSM2420305	On
GSM2420306	On
GSM2420307	Pre
GSM2420308	On
GSM2420310	Pre
GSM2420311	On
GSM2420312	Pre
GSM2420313	Pre
GSM2420316	On
GSM2420317	On
GSM2420318	Pre
GSM2420319	On
GSM2420320	On
GSM2420323	On
GSM2420324	Pre
GSM2420325	On
GSM2420326	Pre
GSM2420328	On
GSM2420329	Pre
GSM2420331	Pre
GSM2420332	On
GSM2420333	Pre
GSM2420334	On
GSM2420335	On
GSM2420336	Pre
GSM2420337	Pre
GSM2420338	On
GSM2420339	On
GSM2420340	On
GSM2420341	Pre
GSM2420342	On
GSM2420343	Pre
GSM2420344	Pre
GSM2420345	On
GSM2420346	Pre
GSM2420349	On
GSM2420350	Pre
GSM2420351	On
GSM2420352	Pre
GSM2420353	On
GSM2420354	Pre
GSM2420355	Pre
GSM2420356	On
GSM2420357	Pre
GSM2420358	On
GSM2420359	Pre
GSM2420360	Pre
GSM2420361	On
GSM2420362	Pre
GSM2420363	On
GSM2420364	On
GSM2420365	On
GSM2420366	Pre
GSM2420367	On
GSM2420368	Pre
GSM2420369	On
GSM2420370	Pre
GSM2420371	On
GSM2420372	Pre
GSM2420373	On
GSM2420374	On
GSM2420375	Pre
GSM2420376	On
