#OTU ID	029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
k__Bacteria._.p__._.c__._.o__._.f__._.g__	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	170	3	0	43	0	0	0	0	6	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	1878	2886	1383	814	785	96	824	1049	220	973	1718	1150	674	2889	354	6	219	233	9463	958	3533	1918	163	1903	342	3273	27	346	296	2110
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	0	0	8	0	0	16	0	0	5	0	0	0	16	0	0	1	4	1	0	17	0	0	35	124	10	0	1	3	45	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Butyricimonas	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	1	0	3	9	0	1	0	0	2	0	0	10	0	0	8	0	0	2	13	11	0	0	202	0	7	0	0	0	0	25
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	0	31	17	23	133	14	42	0	39	14	10	11	88	44	21	2	11	27	176	118	3017	1	117	297	158	61	5	13	155	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	2	0	53	352	450	523	0	0	809	134	0	0	87	0	550	873	2	15	0	706	0	0	0	0	417	3	5	89	33	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	160	0	0	0	0	36	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	3	0	2	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Paraprevotella	0	0	0	228	278	11	16	0	7	0	0	0	0	0	0	1	2	3	338	8	0	0	0	0	19	0	4	0	42	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	6	0	97	737	1652	2659	4	6	655	167	0	0	185	1	673	1073	18	22	0	1849	0	0	0	0	1238	3	285	555	90	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	2	0	0	98	119	841	0	3	186	2	0	0	277	1	8	19	11	0	0	77	0	0	0	0	27	1	74	296	1	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	0	11	36	5	0	10	32	28	27	0	25	92	3	17	0	0	1	8	99	1	0	46	221	116	0	56	3	7	0	60
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	0	0	0	0	14	3	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	6	0	0	2	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	4	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Streptococcus	0	0	1	0	0	4	0	180	0	0	0	3	0	0	0	1	0	3	6	112	7	7	2	112	0	2	0	1	43	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	0	31	0	1	113	22	4	0	0	0	0	0	0	0	0	0	18	16	60	3	0	0	13	11	0	0	2	0	2	12
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	9	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Anaerovorax	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	108	143	105	240	1109	110	24	51	33	20	101	136	97	10	70	3	72	296	266	227	81	72	448	251	6	112	30	5	366	18
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Anaerostipes	29	10	4	23	35	3	21	1	0	0	7	3	2	3	4	0	2	348	0	7	881	3	132	65	1	4	8	2	3	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	2	10	24	154	76	19	74	16	8	3	38	29	39	6	26	5	63	54	57	145	249	59	302	172	4	15	39	0	109	40
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	1	4	25	35	6	2	1	1	0	3	21	1	4	0	8	0	1	2	90	167	3	0	57	44	0	57	1	1	34	22
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	2	7	7	46	0	25	11	0	0	1	44	80	10	0	1	3	0	305	34	11	0	5	7	38	2	0	1	3	3	30
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	0	2	26	0	119	1	22	463	5	0	14	9	0	0	42	1	116	53	108	38	0	42	21	31	0	0	113	0	94	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	0	3	4	8	215	13	2	36	4	2	1	12	52	0	11	0	167	46	0	260	0	11	4	152	3	0	75	0	70	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	4	0	31	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	130	28	259	874	51	34	64	190	274	13	129	383	1859	6	46	21	156	1070	250	349	1	155	208	1250	3	19	21	57	844	15
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Pseudobutyrivibrio	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	59	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	14	1	171	303	253	87	26	2	60	87	27	31	77	0	35	3	34	153	0	85	3	36	1628	252	10	1	79	7	406	30
