asv	029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
denovo619	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0
denovo618	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo617	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
denovo616	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	0
denovo615	0	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	4	0	0	0	0	0	0
denovo614	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0
denovo613	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	1	0	0	2	0	0	0
denovo612	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0
denovo611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
denovo610	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1189	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1188	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0
denovo1181	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
denovo1180	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1183	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	1	0
denovo1182	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
denovo1185	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1187	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	3
denovo1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
denovo428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	7	0	0	0	0	0	0	0	0	0
denovo429	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
denovo1231	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1237	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	1	0
denovo1236	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1235	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0
denovo1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo420	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	7	0	0	0	0	0	0
denovo421	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	28	1	7	0	0	0	0
denovo422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	19	0	0	0
denovo423	0	0	0	0	0	29	0	0	0	0	0	0	0	0	9	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
denovo424	0	0	1	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	5	0	1	0	1	5	0
denovo425	0	0	2	14	1	0	0	0	0	0	0	6	6	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0
denovo426	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	0	0	0	14	0	0	0	0	1	0	8	0	0	0	0
denovo427	1	0	13	0	5	4	0	0	1	8	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0
denovo990	0	0	1	0	0	1	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0
denovo991	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
denovo992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
denovo994	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
denovo995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
denovo997	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0
denovo998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
denovo675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
denovo674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0
denovo677	0	0	3	3	0	0	0	0	1	0	0	4	0	0	2	0	0	0	5	1	0	0	4	0	0	0	0	0	0	0
denovo676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0
denovo671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	1	3	0	0	2	4	1	0	1	0	1	0
